Taxon,Language,Glottocode,SocietyID,Latitude,Longitude,EA202,EA005,EA029,EA008,EA034,EA082,EA112,MammalRichness,MonthlyMeanNetPrimaryProduction
Hopi-16,Hopi,hopi1249,Nh18,36.0,-111.0,3500,66 to 75 percent dependence,Cereals,"Large extended families, i.e., corporate aggregations of smaller family units occupying a single dwelling or a number of adjacent dwellings and normally embracing the families of procreation of at least two siblings or cousins in each of at least two adjacent generations",A high god absent or not reported in substantial descriptions of religious beliefs,Flat or horizontal,"There is both a trance state and a belief in possession, but this belief refers to phenomena other than trance, which is explained through other categories.",60.88515717,0.216711957
Tubatulabel-10,Tübalulabal,tuba1278,Nc2,39.0,-118.0,300,Zero to 5 percent dependence,No agriculture,Independent nuclear families with monogamy,A high god absent or not reported in substantial descriptions of religious beliefs,Dome shaped or hemispherical,,58.32072227,0.308411561
Luiseno-14,Luiseño,luis1253,Nc33,33.0,-117.0,1300,Zero to 5 percent dependence,No agriculture,"Independent polygynous families, usual co-wives pattern (either polygyny is preferentially sororal, with cowives in same quarters, OR typically non-sororal, with cowives in separate quarters)",A high god absent or not reported in substantial descriptions of religious beliefs,Conical,"Trance behavior is known to occur, but there is no belief in possession.",52.48114777,1.0178792
Cupeno-13,Cupeño,cupe1243,Nc32,33.0,-117.0,200,Zero to 5 percent dependence,No agriculture,Independent nuclear families with occasional or limited polygyny,,Conical,,52.48114777,1.0178792
Cahuilla-12,Cahuilla (Desert),cahu1264,Nc31,33.0,-116.0,750,Zero to 5 percent dependence,No agriculture,"Small extended families, i.e., those normally embracing the families of procreation of only one individual in the senior generation but of at least two in the next generation. Such families usually dissolve on the death of the head",A high god present but otiose or not concerned with human affairs,"Gabled, i.e., with two slopes","Trance behavior is known to occur, but there is no belief in possession.",54.54596678,0.381893692
Gabrielino-15,Tongva,tong1329,Nc29,34.0,-118.0,5000,Zero to 5 percent dependence,No agriculture,Independent nuclear families with occasional or limited polygyny,A high god present but otiose or not concerned with human affairs,Dome shaped or hemispherical,,52.13974362,1.199342674
Serrano-11,Serrano,serr1255,Nc30,34.0,-117.0,100,Zero to 5 percent dependence,No agriculture,"Small extended families, i.e., those normally embracing the families of procreation of only one individual in the senior generation but of at least two in the next generation. Such families usually dissolve on the death of the head",A high god present but otiose or not concerned with human affairs,Conical,,65.85357526,0.604476676
Comanche-5,Comanche,coma1245,Ne3,33.0,-100.0,4700,Zero to 5 percent dependence,No agriculture,"Large extended families, i.e., corporate aggregations of smaller family units occupying a single dwelling or a number of adjacent dwellings and normally embracing the families of procreation of at least two siblings or cousins in each of at least two adjacent generations",,Conical,"There is both a trance state and a belief in possession, but this belief refers to phenomena other than trance, which is explained through other categories.",49.94089142,0.564358943
Pannamint-3,Beatty,pana1305,Nd33,37.0,-116.0,70,Zero to 5 percent dependence,No agriculture,Independent nuclear families with occasional or limited polygyny,,Conical,,54.76484393,0.120275445
Shoshoni_Gosiute_Dialect-4,Gosiute,gosi1242,Nd48,40.0,-114.0,,Zero to 5 percent dependence,No agriculture,Independent nuclear families with occasional or limited polygyny,,,,63.34820572,0.187357955
